在职总月数,每月平均使用分钟数,平均未接语音呼叫数,是否流失
7,667,48,0
13,484,8,0
14,255,0,1
10,334,5,0
11,592,81,1
10,168,16,0
17,439,7,0
29,744,35,0
32,2785,9,1
37,155,2,0
23,141,5,1
10,6,2,1
13,211,22,0
14,359,0,1
7,842,48,0
26,297,44,1
10,636,7,1
36,69,16,1
14,601,28,0
29,221,21,0
14,1644,23,0
23,14,3,0
17,696,39,0
7,181,6,0
7,1994,47,1
28,8,1,1
27,221,13,0
20,697,46,1
20,545,35,0
14,58,0,0
29,631,1,0
18,407,9,0
20,353,15,0
16,924,69,0
11,269,10,1
20,1395,140,1
11,121,8,1
33,2539,70,0
33,260,8,1
41,198,12,1
7,692,48,1
7,116,9,1
7,319,13,0
7,262,11,0
33,237,20,1
15,321,28,0
27,28,1,1
14,81,4,1
25,86,5,0
38,552,20,0
46,579,25,1
30,259,19,0
11,585,22,0
20,92,3,1
14,567,18,1
32,68,12,1
14,35,1,1
11,692,62,1
19,346,18,0
26,766,52,1
15,211,19,0
27,1876,110,1
14,667,14,1
14,664,0,1
14,37,0,0
13,443,31,0
16,209,8,0
14,177,5,1
18,62,5,1
33,18,0,0
26,333,24,1
13,83,8,1
12,36,4,0
16,858,64,0
6,440,56,1
9,20,1,1
14,1088,0,0
8,389,0,0
26,1609,76,0
22,273,14,1
9,15,1,0
18,1122,31,1
27,1077,26,1
22,549,46,0
27,174,11,0
59,0,0,0
12,1049,84,1
10,1800,0,0
32,553,31,1
18,125,12,1
7,1106,23,1
12,6,0,1
28,1066,45,0
29,56,4,0
26,525,58,1
23,548,10,0
25,174,9,0
25,406,14,0
15,225,43,0
8,178,12,0
15,1006,38,0
13,300,21,1
20,223,18,0
12,76,0,0
19,115,4,1
43,276,20,0
12,81,0,1
7,261,9,0
6,625,19,1
15,363,14,0
28,237,10,1
18,2341,52,0
23,95,5,1
7,203,13,1
12,66,0,1
9,136,0,0
10,317,9,0
9,119,1,1
15,317,29,0
10,78,3,1
11,349,22,0
13,470,27,1
17,745,30,0
21,40,3,1
19,135,16,0
22,783,19,0
26,675,75,0
16,543,19,1
17,39,0,0
30,688,16,0
6,1145,93,1
11,2529,127,1
17,242,4,1
7,29,0,0
21,569,11,1
26,428,15,1
18,1441,53,0
22,673,26,1
26,512,30,1
23,146,16,1
25,148,9,1
10,758,0,0
17,929,38,0
15,243,11,0
16,188,7,0
25,904,0,0
12,124,12,0
8,0,0,1
15,2501,307,1
24,1483,84,0
35,3,0,1
11,475,1,1
36,1089,117,1
32,853,54,1
9,1611,0,0
11,313,37,1
6,141,12,0
13,199,9,0
16,333,28,0
26,1808,174,1
13,240,17,0
13,889,63,1
16,1272,129,1
35,2278,151,1
7,22,1,1
22,207,21,1
35,890,6,0
12,1889,184,0
48,1831,39,1
11,179,10,1
15,321,27,0
19,295,8,1
7,260,13,0
23,1344,34,1
23,22,0,1
29,34,1,0
24,23,1,1
14,258,74,1
36,191,9,0
29,630,26,0
27,181,17,1
30,328,12,1
17,360,20,1
9,814,10,0
30,306,21,1
12,1344,41,0
32,103,2,0
33,107,16,0
8,143,6,0
23,637,57,1
31,327,7,0
13,383,16,1
35,123,2,1
21,476,29,0
20,669,1,0
12,791,34,1
16,715,25,0
11,245,22,1
20,190,18,1
20,449,60,0
30,240,60,0
11,0,0,1
12,557,85,1
10,15,0,0
32,578,30,0
13,367,14,0
8,5,0,0
17,143,20,0
23,231,5,0
12,252,0,1
10,1188,71,1
13,2497,46,1
6,912,34,1
9,146,24,1
20,598,77,1
6,291,7,1
12,1434,72,0
12,220,21,0
23,455,17,1
11,531,18,1
11,392,19,1
10,386,0,1
23,50,0,0
11,80,34,1
16,262,38,1
16,4304,1,0
9,562,33,1
12,286,35,1
12,26,10,1
8,725,55,1
8,77,3,0
16,487,20,0
15,24,3,0
31,149,12,1
9,4,5,0
21,521,23,1
25,0,0,0
14,561,40,1
20,770,20,0
15,160,9,0
11,782,23,0
15,65,1,1
10,192,19,1
9,984,50,1
47,509,45,0
14,121,8,1
27,286,10,1
11,299,27,0
21,552,35,0
17,171,14,1
7,185,12,0
27,120,1,1
14,385,35,0
13,534,17,0
20,510,46,0
32,215,11,0
11,140,5,1
25,1481,36,0
38,191,11,1
37,24,1,0
33,314,15,1
12,201,17,1
12,548,0,1
41,209,11,1
10,489,27,0
37,571,20,0
10,1222,29,0
11,840,90,1
12,39,8,1
12,61,1,1
13,251,0,0
7,1610,94,1
33,304,10,0
21,289,25,1
12,65,0,1
22,236,7,0
6,296,11,0
11,2584,139,1
24,488,35,1
19,254,20,0
20,58,1,1
24,82,16,1
21,249,12,0
20,683,73,0
24,432,25,1
15,42,10,1
27,95,4,1
16,93,6,0
11,796,70,0
19,542,25,0
26,1074,79,0
8,602,0,1
33,699,28,0
16,17,0,1
30,759,17,1
16,226,8,1
10,1765,95,0
9,193,34,0
19,0,0,1
17,118,2,0
33,638,4,1
16,28,1,0
12,376,11,1
17,613,22,0
15,416,23,1
13,487,34,0
30,237,7,1
12,553,6,0
25,269,43,1
31,289,31,0
11,286,14,1
21,496,17,0
34,73,1,0
29,97,1,1
7,292,2,0
11,69,0,1
11,733,5,1
18,154,7,0
8,429,0,0
28,270,31,1
24,674,36,1
19,41,0,1
25,732,23,0
15,312,10,1
9,488,11,1
29,111,7,0
12,177,7,0
16,0,0,1
14,96,10,0
25,1634,37,0
21,1220,0,1
11,416,10,0
13,168,8,0
11,1086,93,1
8,473,28,0
25,880,14,1
12,470,40,1
31,918,35,0
30,260,21,0
24,1021,20,0
13,1210,88,0
8,130,0,0
22,198,4,1
31,172,17,0
24,230,41,0
20,171,7,1
6,403,17,1
10,827,25,1
21,723,8,1
15,170,75,0
20,1392,161,0
10,160,3,0
26,394,17,1
6,1195,46,0
31,367,22,1
27,21,4,1
19,898,33,1
12,95,9,0
15,2238,102,0
37,1241,63,0
18,88,16,1
7,859,55,0
10,299,31,0
19,144,15,0
17,243,10,1
36,1483,41,1
10,1184,39,0
24,406,7,0
10,119,4,0
7,669,72,0
9,352,0,0
21,25,0,1
12,219,0,0
12,355,34,1
9,702,40,1
11,1521,24,0
14,204,4,1
9,566,62,0
12,941,48,0
13,616,32,0
33,277,10,0
34,1262,127,1
25,119,8,1
7,89,10,0
34,669,33,0
10,142,10,0
18,628,43,1
20,210,2,0
35,815,36,0
12,212,12,1
10,366,7,0
27,892,42,1
8,680,74,0
12,731,92,1
9,108,3,0
34,38,1,0
17,263,5,0
26,692,52,0
18,172,0,1
9,400,22,1
16,308,9,0
25,192,5,1
10,683,13,1
30,288,19,1
18,78,3,1
17,1094,43,1
13,247,10,0
24,1461,52,0
32,324,12,1
26,183,6,0
16,0,0,1
23,277,18,0
23,142,5,1
13,128,18,0
6,1249,56,1
17,2876,184,0
9,966,51,1
26,679,11,0
13,14,3,1
8,666,32,0
14,469,1,0
11,175,10,0
31,534,33,0
13,97,5,0
29,887,35,1
7,411,42,0
8,1820,70,0
11,966,32,1
25,101,10,0
7,608,4,0
12,557,55,1
11,350,27,1
7,846,17,0
25,54,2,0
25,578,19,1
32,45,2,0
12,380,24,1
9,459,72,1
25,169,11,1
31,731,46,1
13,76,5,0
22,110,4,0
15,43,0,1
11,511,66,0
23,651,44,0
13,737,27,0
13,158,13,0
17,313,37,0
12,61,0,0
17,965,26,0
32,805,71,0
12,985,39,1
24,53,1,1
10,74,0,0
22,129,12,1
7,101,7,0
14,250,1,1
33,179,7,1
12,4,0,1
27,13,3,1
29,117,11,1
8,812,0,1
7,2019,64,0
20,854,34,0
7,60,2,0
10,190,17,0
24,679,33,0
29,0,0,1
13,354,22,1
18,60,1,1
7,373,5,0
33,2785,0,1
25,559,9,1
19,416,18,0
21,118,12,0
7,217,14,0
14,160,1,0
9,431,29,0
18,1082,48,0
14,1030,0,0
11,557,31,1
20,382,25,1
19,255,3,1
30,532,35,0
9,121,12,1
31,296,8,1
18,1256,92,0
47,0,0,1
16,2030,145,1
37,26,3,0
15,844,0,1
30,143,0,1
23,419,21,1
24,979,23,1
36,658,24,0
11,244,40,0
15,485,41,0
25,697,38,1
24,731,41,0
7,77,1,0
12,840,0,1
35,201,9,0
25,1395,0,0
22,405,25,1
15,1233,22,1
13,419,44,1
6,2414,214,1
8,732,0,1
13,450,17,0
19,1135,100,0
9,784,72,0
10,565,49,0
9,179,9,0
25,430,11,1
14,1255,26,0
39,108,6,1
23,34,0,1
28,12,2,0
19,1028,101,0
27,598,52,1
20,149,7,1
19,1093,57,0
11,200,12,1
18,66,1,1
13,459,48,1
7,888,17,1
8,950,35,0
10,721,66,0
19,56,2,0
9,370,5,1
17,21,1,1
11,64,6,1
7,264,10,0
16,1705,65,1
11,58,10,1
13,220,0,1
19,2339,107,1
12,376,22,1
15,509,1,0
20,297,15,0
32,223,28,0
27,516,46,1
27,95,7,1
53,3142,203,0
38,420,32,0
15,1863,39,1
10,499,47,0
17,597,21,1
13,852,34,0
7,1521,26,0
15,671,33,1
14,13,0,1
32,1228,37,0
22,105,9,1
7,38,4,0
20,513,6,1
24,117,11,0
52,1341,46,1
14,65,0,1
36,543,0,1
25,30,0,1
24,790,27,0
21,730,47,1
34,91,10,0
11,712,29,1
19,69,15,1
15,655,63,1
32,52,8,1
14,644,68,0
21,348,16,0
12,1009,69,1
24,1465,51,1
8,269,6,0
15,61,0,1
23,679,35,0
18,100,1,0
55,36,3,0
8,63,6,0
24,337,70,0
11,474,36,0
7,0,0,0
17,1057,96,1
36,114,9,0
20,13,1,0
19,656,64,1
18,40,2,0
16,616,40,1
28,149,9,0
11,0,0,1
8,919,82,0
10,444,29,0
11,1080,50,1
17,79,10,1
29,91,3,1
16,192,16,0
18,933,32,0
18,237,23,0
16,178,5,0
12,458,71,1
15,599,23,0
26,326,13,0
11,528,25,1
7,80,4,0
11,793,33,1
12,1233,90,1
18,444,14,1
13,40,1,0
23,642,38,1
11,494,28,1
27,386,6,0
12,1566,91,1
14,947,20,1
13,373,95,0
10,816,0,1
15,265,24,1
43,1112,12,0
15,865,80,1
18,26,2,0
7,836,19,1
10,0,0,1
13,339,0,0
13,157,5,1
11,164,10,1
12,79,11,1
11,827,26,1
8,0,0,0
7,1,0,1
33,169,7,1
28,217,11,1
27,225,2,1
46,842,56,0
37,632,21,0
9,334,1,0
28,486,32,0
11,89,0,0
8,795,17,0
6,1266,56,1
26,648,23,1
27,102,3,1
12,647,1,1
16,1039,14,1
7,898,53,0
20,259,33,0
11,536,13,1
14,1677,0,1
12,394,0,0
32,675,32,1
18,152,19,1
15,243,18,1
25,450,58,1
20,209,2,1
29,1041,41,0
6,424,4,0
16,616,42,1
28,560,12,0
10,162,2,1
8,1671,59,1
14,230,6,1
8,300,20,0
27,525,78,0
36,508,18,0
32,83,14,1
14,225,3,0
24,0,0,1
10,194,12,0
10,805,77,1
17,843,34,1
11,543,14,0
22,34,5,1
12,789,64,1
28,1050,22,1
12,1092,20,1
10,1012,33,1
24,1602,27,0
16,1540,41,0
10,251,51,0
8,242,14,0
6,564,28,1
20,491,29,1
7,838,62,0
7,293,22,0
21,91,6,0
7,866,39,0
32,80,2,1
25,435,29,0
53,1,0,0
19,994,71,1
26,24,3,1
23,880,51,0
28,1009,50,0
12,317,42,1
11,1160,51,0
17,192,5,0
6,1218,32,0
14,56,3,0
13,50,9,0
26,2502,116,0
22,298,24,1
29,299,14,1
12,454,17,1
16,249,13,1
14,945,52,1
23,268,11,1
42,46,2,0
8,778,36,1
24,134,3,0
28,363,42,0
16,568,63,1
25,180,14,1
21,222,23,0
23,301,17,0
24,466,70,1
9,257,34,0
38,529,83,1
13,640,2,0
14,476,9,1
19,269,10,0
42,2,0,1
12,555,50,1
14,25,1,1
7,783,123,0
26,43,1,1
23,1248,35,1
10,203,1,1
13,1654,42,1
14,678,44,1
19,504,23,1
38,285,7,0
21,384,12,1
26,34,0,1
27,197,37,1
27,76,4,0
23,53,5,0
16,108,0,0
38,162,20,1
16,236,7,0
28,382,13,1
11,1496,58,1
17,1459,67,0
12,321,22,1
18,554,8,1
12,645,13,0
15,428,0,0
16,212,13,1
21,307,12,0
6,114,5,0
11,289,34,0
13,318,11,0
10,838,33,0
10,90,15,1
38,110,11,1
26,22,4,1
40,268,12,0
18,931,8,0
32,175,15,0
8,328,12,0
32,975,54,0
6,1054,47,1
17,871,33,0
21,32,7,0
29,135,11,1
26,591,11,1
14,168,12,0
7,1511,124,0
26,379,8,1
33,605,7,1
6,31,1,0
9,249,0,0
12,382,69,1
50,580,12,0
13,217,15,1
16,21,5,1
29,406,18,1
15,447,4,1
31,398,0,0
23,188,21,1
14,556,56,0
36,1239,40,0
23,110,4,0
26,270,19,0
16,1031,145,1
8,31,4,0
11,1186,151,1
11,124,12,1
15,706,28,0
9,2009,104,1
12,38,7,1
21,309,24,0
8,425,10,1
28,144,3,0
7,884,88,0
13,289,15,1
12,581,0,1
22,223,17,1
7,925,42,0
8,1016,17,1
6,1631,64,1
14,367,40,0
27,741,27,1
7,280,17,0
21,866,42,0
15,90,5,1
32,650,35,1
31,1722,55,1
16,1435,28,1
11,78,0,1
13,739,22,0
17,389,21,0
27,248,17,1
12,473,4,1
8,1850,67,0
11,562,34,0
7,1262,38,0
18,565,13,1
21,992,21,0
7,1916,106,1
36,505,24,1
22,121,12,1
32,408,31,0
30,54,2,1
14,861,62,0
8,124,0,1
27,264,1,0
11,1801,15,1
36,17,0,1
11,44,0,0
35,52,5,1
7,147,14,1
9,202,17,0
11,117,23,1
8,41,2,0
14,673,24,1
10,415,0,0
15,1371,46,0
12,12,3,1
21,40,4,0
10,13,0,1
23,654,42,0
11,658,56,1
11,655,11,0
7,215,25,0
23,478,10,1
36,1038,64,1
14,425,19,0
31,195,14,1
11,632,13,1
22,2,0,1
19,191,11,1
9,40,2,1
15,430,65,1
23,710,133,0
28,251,7,1
15,219,0,1
28,905,41,1
17,1698,17,1
6,1335,68,0
15,74,0,1
6,17,2,0
14,172,18,1
25,107,21,1
10,232,0,0
36,69,6,0
36,694,41,0
7,366,20,1
11,1149,56,1
20,431,27,1
15,695,65,1
17,42,3,0
8,284,17,1
11,181,0,0
19,495,19,0
15,195,0,1
13,103,15,1
7,426,9,0
32,178,0,0
26,230,7,1
13,495,10,0
19,1193,28,0
34,87,7,1
29,478,49,0
19,720,30,1
12,684,114,0
11,402,26,0
14,174,15,1
45,365,31,0
31,20,0,1
6,1240,112,1
15,923,37,1
29,1009,44,1
10,208,30,0
20,305,28,1
10,843,15,1
22,133,34,1
10,92,2,1
18,82,6,1
22,181,3,0
10,320,23,0
14,1310,75,0
21,1164,48,1
15,21,0,1
16,363,11,1
18,659,135,0
10,276,11,1
12,169,8,1
15,90,3,1
19,386,17,0
22,1054,19,0
13,386,21,1
23,914,7,1
32,279,3,0
25,822,18,0
12,354,46,0
29,410,17,0
40,627,4,1
14,233,26,0
8,2968,34,0
15,1544,38,0
19,370,16,1
24,64,4,0
36,1621,30,1
30,99,2,1
20,271,5,0
23,321,20,1
11,184,6,1
27,1052,65,0
13,282,14,0
19,0,0,1
21,107,6,1
8,2754,165,0
6,1374,35,0
16,566,32,1
23,338,10,0
7,948,66,1
37,46,9,0
12,424,5,1
11,396,39,1
8,46,0,0
9,108,17,0
13,215,4,0
11,37,1,0
18,139,1,0
30,4,0,1
9,300,11,0
24,338,6,1
31,470,7,0
21,575,18,1
13,285,14,1
17,13,0,0
12,811,0,1
46,195,30,0
14,1694,125,0
19,78,5,1
28,188,3,0
30,153,16,0
30,843,66,1
8,339,14,1
34,1156,95,0
9,515,36,1
7,107,9,0
28,325,24,1
13,34,1,1
33,201,6,1
17,102,22,1
12,365,50,1
14,501,99,0
15,696,25,0
22,362,23,1
15,482,15,0
25,1614,177,1
13,346,27,1
8,114,5,1
23,58,0,1
53,1,0,0
23,362,14,1
17,177,29,0
18,805,34,0
16,122,0,1
27,79,3,1
13,1060,20,1
14,235,15,0
7,495,37,1
18,503,21,1
9,-1,0,1
12,911,68,1
23,186,3,1
35,195,38,1
7,125,9,0
12,23,0,0
23,480,40,0
18,786,7,0
13,452,38,0
11,341,25,1
11,359,18,1
30,14,0,1
11,526,16,1
35,603,87,0
16,681,54,0
17,21,0,0
29,93,5,0
34,8,0,1
26,254,25,0
12,397,27,0
20,963,69,1
14,58,4,1
16,202,3,1
13,934,54,0
30,112,27,0
21,1024,42,1
14,236,8,1
29,185,12,0
23,245,6,0
10,792,100,0
19,512,22,1
12,243,16,1
8,96,1,0
24,209,11,1
25,147,10,1
7,2395,335,1
11,143,12,1
17,120,3,0
29,151,17,1
20,155,12,0
31,543,34,1
42,595,84,0
46,6,1,1
8,888,49,0
33,271,14,0
10,1135,60,1
12,716,0,1
15,284,3,1
23,1016,101,0
14,32,4,1
17,205,12,1
11,0,0,1
34,263,66,0
12,485,13,1
11,200,0,1
8,823,20,0
23,741,25,1
15,463,32,0
19,296,8,0
53,454,15,0
16,581,25,0
13,1198,41,0
7,320,51,0
19,162,10,0
8,388,2,0
10,117,3,0
17,0,0,1
26,123,0,1
39,1441,0,1
18,658,52,1
22,527,28,0
35,511,15,1
14,212,0,1
17,10,1,0
12,636,75,0
32,270,23,1
33,493,20,0
13,119,9,1
16,799,14,1
8,544,35,0
6,2411,127,1
9,201,38,0
23,112,3,1
16,451,25,1
19,143,4,0
16,241,23,1
26,414,10,0
14,60,10,1
33,998,37,1
7,727,69,1
17,99,0,1
9,186,13,0
6,1281,131,0
18,1,0,1
14,336,0,1
10,670,43,1
23,15,2,1
37,11,5,1
19,343,30,1
21,681,16,0
16,125,6,0
11,554,44,1
19,319,12,0
19,216,23,1
13,2,1,1
35,69,0,0
6,561,13,0
11,196,48,1
29,589,32,0
7,701,43,1
41,435,50,0
12,390,15,1
9,772,5,1
20,91,18,1
19,5,0,0
11,1014,46,1
9,312,11,0
11,313,0,1
25,140,1,0
8,291,0,1
13,0,0,1
33,685,18,0
21,469,37,0
14,766,19,1
12,399,4,1
17,560,23,1
29,468,18,0
11,137,19,1
33,87,1,1
8,223,6,0
25,611,26,0
8,316,35,1
9,63,8,1
21,377,82,0
9,428,48,1
31,270,13,0
27,508,19,0
29,1452,94,1
21,5,0,0
33,1035,17,1
7,279,20,1
26,61,2,0
21,384,14,0
26,219,34,0
25,69,20,1
9,1110,79,0
12,354,1,1
21,265,15,0
15,92,2,1
41,769,26,1
26,143,12,0
25,569,28,0
9,1158,186,0
16,373,26,1
34,268,5,0
26,192,6,0
13,207,17,0
20,452,44,0
12,493,49,1
12,110,6,1
22,1757,72,1
8,172,0,0
8,568,0,1
13,52,0,0
24,747,43,0
9,1134,18,0
9,933,50,0
15,443,16,0
26,655,25,1
24,105,12,0
20,601,119,0
8,241,47,0
11,122,0,1
36,178,26,1
20,384,30,0
17,1892,45,0
37,604,21,1
41,6,0,0
7,870,31,1
15,154,9,0
15,626,74,0
8,74,4,0
24,126,6,0
7,398,17,0
22,797,11,0
36,86,2,0
25,304,7,1
9,345,8,1
13,315,30,0
14,127,11,1
13,53,1,0
15,147,13,0
41,206,11,0
24,3,0,1
10,311,3,0
16,149,24,0
18,139,13,0
12,290,25,1
9,154,1,0
9,38,0,0
6,247,35,1
18,51,1,1
11,832,27,0
7,318,6,1
31,199,10,1
22,496,54,1
21,286,25,1
14,27,0,0
12,49,1,0
20,108,9,1
24,1246,51,1
11,0,0,1
27,548,21,0
25,346,41,0
39,227,36,1
13,96,0,1
9,319,6,0
13,1101,106,0
7,771,31,1
11,528,13,1
22,750,28,0
7,779,34,1
6,305,14,1
15,164,2,0
13,482,42,0
8,1758,136,0
16,360,21,1
32,133,7,0
7,273,14,1
10,313,24,0
19,566,15,0
30,127,6,1
47,297,20,1
26,140,7,0
13,351,0,1
15,586,14,1
18,528,23,1
20,887,10,1
7,381,13,0
24,129,11,1
14,971,0,1
12,328,12,0
20,427,39,1
19,408,20,1
26,453,44,0
11,446,11,1
53,15,0,0
33,87,4,1
25,137,13,0
20,710,21,1
8,159,2,0
37,307,42,1
43,239,24,0
24,249,8,1
9,151,17,0
14,358,27,1
23,728,18,0
17,176,2,0
15,516,10,1
16,621,18,0
18,957,97,1
17,545,54,1
8,60,0,1
11,825,43,1
21,177,9,1
18,622,2,1
36,79,8,1
26,171,21,1
19,796,34,1
24,113,7,1
14,321,35,1
8,250,0,0
11,445,43,1
12,5,0,1
27,346,8,0
12,435,20,1
29,309,9,1
20,399,0,1
12,249,65,1
12,90,3,1
15,81,0,1
17,1202,86,1
32,520,199,0
9,590,26,0
11,2368,27,0
21,4,0,0
34,1950,253,0
7,1619,263,1
12,305,0,0
24,10,0,1
18,36,3,0
12,45,0,0
13,928,44,1
9,1038,22,0
21,273,17,0
22,93,9,1
9,92,31,0
17,171,20,0
19,1185,121,0
13,175,8,0
11,321,6,1
13,25,0,0
16,782,35,1
8,550,57,0
7,1664,99,0
18,163,7,0
25,52,4,1
14,205,16,0
18,55,21,1
7,22,0,1
21,171,6,1
23,116,25,1
13,1052,35,0
14,270,0,1
15,841,72,1
7,378,18,0
21,300,11,0
23,766,27,0
15,595,4,0
14,526,21,0
15,1115,61,0
28,236,2,0
16,787,36,1
14,1092,0,0
17,225,6,1
13,55,0,0
17,624,55,1
29,261,16,1
29,27,0,1
12,786,17,1
16,329,9,0
15,164,9,0
8,421,0,0
22,366,17,0
14,948,96,0
12,477,11,1
17,244,19,1
21,127,10,0
12,428,87,1
14,7,1,1
13,48,0,0
26,92,6,0
16,144,2,0
7,270,12,0
10,356,24,0
12,906,0,0
30,168,16,0
13,915,76,0
22,254,10,1
11,287,51,1
16,767,30,1
21,284,21,1
43,525,40,1
29,932,28,0
21,311,11,1
11,86,7,1
8,484,20,0
39,642,61,0
12,34,0,0
20,1305,29,0
12,1807,125,0
15,397,32,0
18,1610,48,1
13,1121,91,1
51,960,41,1
24,354,23,1
11,386,13,0
22,291,15,1
25,225,17,0
13,180,11,0
15,1092,54,0
18,395,35,0
14,764,39,1
30,49,1,1
26,80,2,0
26,520,16,1
9,253,9,0
25,277,10,0
15,375,23,1
27,863,18,0
25,749,40,1
7,810,51,1
33,105,7,1
9,245,6,0
11,777,152,1
23,1106,25,1
14,180,15,1
12,892,174,1
15,593,35,1
18,84,11,1
10,102,11,1
25,47,4,0
29,374,26,0
24,1849,37,0
13,1209,87,1
14,2,0,0
12,362,22,0
15,1291,85,1
15,765,68,1
30,462,20,0
10,825,36,1
12,623,136,1
43,75,7,0
11,112,3,1
27,543,23,1
10,342,4,1
20,67,2,0
6,373,12,0
13,72,8,1
10,852,0,1
35,862,11,0
13,91,2,1
17,786,42,0
18,55,7,1
13,541,0,0
7,581,24,0
31,1342,78,1
13,59,3,0
26,520,43,1
22,658,30,1
15,115,9,1
30,1051,240,0
27,101,2,0
15,257,0,0
20,107,5,0
29,213,9,1
35,113,5,0
15,209,3,1
25,27,1,1
10,98,6,1
19,1313,66,0
10,356,21,1
45,528,12,1
17,753,38,1
8,743,24,0
11,176,8,1
35,474,28,0
18,372,8,1
26,1488,122,0
9,1005,24,0
7,441,2,0
29,551,25,1
7,98,4,1
25,385,11,0
14,951,66,0
25,193,9,1
16,207,10,0
12,267,18,0
12,11,0,0
8,697,58,1
11,159,8,1
27,183,12,0
43,1199,53,0
24,71,19,0
21,416,19,0
11,372,6,1
13,213,6,0
32,192,34,1
15,114,10,0
9,268,10,0
25,1048,34,1
13,1018,46,0
8,814,102,1
35,251,17,0
31,375,21,0
28,1128,29,0
16,778,30,0
16,425,28,0
20,323,22,1
14,366,17,1
23,802,58,1
18,360,14,0
17,319,19,1
24,211,63,0
17,44,4,1
46,1658,60,0
12,215,27,0
7,193,0,0
10,11,0,1
15,496,57,1
27,33,2,1
11,108,0,1
11,737,23,1
8,800,77,0
23,139,8,0
12,250,5,0
13,870,53,0
26,403,22,1
7,1846,88,0
19,364,20,0
32,77,0,0
27,919,91,1
7,2,0,0
11,66,10,1
12,421,30,1
14,1066,34,0
7,543,19,0
33,1103,74,1
16,289,10,0
36,845,53,1
16,36,2,1
18,498,40,1
17,428,12,0
11,114,11,1
11,441,26,1
27,67,43,0
10,732,92,1
10,72,3,1
20,1272,31,1
12,26,0,1
20,41,2,1
23,576,14,1
10,104,9,0
7,478,18,0
38,408,10,1
31,390,10,1
15,24,1,0
40,11,0,1
10,658,23,0
14,351,11,1
49,63,13,0
23,307,10,0
11,669,31,1
38,348,30,0
19,608,110,0
8,593,6,0
30,112,6,1
17,93,8,1
23,1483,192,0
49,23,2,1
14,107,8,1
11,550,84,1
10,1239,28,0
13,1046,31,0
24,391,26,1
6,181,24,0
13,970,28,1
25,413,27,0
19,172,17,0
15,2,0,0
15,1527,18,1
15,477,0,0
20,212,26,1
17,1580,48,0
27,187,5,0
35,0,0,1
45,97,3,0
40,1,0,0
13,466,39,0
26,204,6,1
34,660,23,0
12,197,17,1
20,159,3,1
10,935,7,0
31,-1,9,1
10,1862,63,1
14,2060,72,0
22,436,15,0
21,779,19,0
9,347,0,0
24,1409,37,0
7,935,57,0
14,274,21,0
15,806,81,0
13,1326,100,1
19,181,3,0
12,559,28,1
25,309,27,0
12,268,0,0
12,288,0,1
13,348,13,0
13,709,54,1
25,311,15,1
20,414,25,1
24,86,9,1
29,979,30,0
16,96,4,1
13,638,93,0
35,35,6,1
12,1021,115,1
7,515,10,1
17,561,7,1
11,237,11,0
12,175,0,0
17,1105,24,0
21,180,7,0
10,1461,91,0
23,3,0,1
29,211,16,0
25,1967,97,1
13,322,18,1
11,296,7,0
8,185,0,1
35,815,54,1
20,521,48,0
35,32,0,0
19,8,0,0
29,37,3,0
9,29,0,1
9,583,21,1
27,17,0,0
20,624,16,1
26,73,2,1
20,181,9,1
20,274,2,1
11,655,49,1
14,169,2,0
11,609,19,1
21,234,24,1
35,290,16,1
12,309,15,1
7,754,97,0
37,663,56,0
33,500,4,0
12,243,7,0
27,149,15,1
9,136,8,1
29,543,32,1
12,65,3,1
23,457,101,1
17,908,35,0
9,174,7,0
12,562,18,0
23,213,4,1
21,456,32,0
25,188,5,0
27,88,3,1
10,317,0,1
13,730,36,0
31,1174,59,0
15,1442,144,0
10,54,0,1
19,71,5,1
25,562,35,1
12,28,1,0
15,628,61,1
27,156,0,1
38,371,51,1
21,166,13,1
21,201,5,0
24,231,13,0
9,554,14,0
23,589,24,0
31,420,12,0
8,1425,36,1
22,61,2,1
20,125,4,0
12,707,32,1
14,315,4,0
14,250,0,0
8,527,55,1
12,758,26,1
24,30,5,0
25,49,3,1
12,1183,77,1
31,199,7,1
12,221,23,1
9,599,26,0
10,369,24,0
21,84,8,1
35,2179,94,0
13,809,38,1
39,161,4,0
8,270,19,0
27,329,21,1
19,1471,100,1
9,515,26,1
11,209,19,1
25,188,6,0
22,497,22,1
12,1230,63,0
11,422,20,0
11,420,29,0
15,166,12,0
12,1243,59,1
15,2307,54,0
9,796,50,0
15,436,46,0
26,524,19,1
6,1602,41,1
27,587,18,0
12,88,7,1
22,938,32,1
27,763,43,1
17,133,7,1
18,1726,49,1
11,103,0,0
19,336,23,0
10,662,40,1
8,281,8,0
34,718,37,1
23,904,38,1
22,505,8,1
21,28,3,0
17,193,5,0
11,28,3,1
9,221,14,0
9,532,32,1
9,1939,98,0
6,231,3,1
11,1242,28,1
15,490,25,0
25,693,47,1
19,208,7,0
33,135,5,1
17,185,15,0
18,1450,33,0
19,102,1,0
8,234,3,0
20,560,89,0
22,302,11,1
12,1187,0,1
10,698,61,0
8,568,49,0
25,151,11,0
16,240,6,0
37,252,1,0
22,1119,15,0
11,714,67,1
13,77,7,1
27,1279,38,0
14,426,22,0
13,620,7,1
29,1542,136,1
12,189,13,0
27,126,12,1
13,339,25,1
19,281,18,0
42,374,23,1
7,303,27,1
9,408,70,0
23,98,27,0
31,287,23,0
33,25,3,0
25,1996,45,0
